Rk,Name,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,IntPct,Rate,Sk,Y/A,SkYds,AY/A,ANY/A,Y/G,W,L,T
136,Mike Tomczak,1985,1999,,TOT,NFL,185,73,1248,2337,53.40,16079,88,106,4.54,68.9,114,6.88,809,5.59,5.00,86.9,42,31,0
137,Jack Trudeau,1986,1995,2-47,TOT,NFL,67,49,873,1644,53.10,10243,42,69,4.20,63.3,103,6.23,717,4.85,4.16,152.9,19,30,0
138,Steve Walsh,1989,1999,1-1,TOT,NFL,80,38,713,1317,54.14,7875,40,50,3.80,66.4,40,5.98,274,4.88,4.53,98.4,20,18,0
139,Kurt Warner,1998,2009,,TOT,NFL,124,116,2666,4070,65.50,32344,208,128,3.14,93.7,260,7.95,1669,7.55,6.71,260.8,67,49,0
140,Danny White,1976,1988,3-53,DAL,NFL,166,92,1761,2950,59.69,21959,155,132,4.47,81.7,241,7.44,2083,6.48,5.34,132.3,62,30,0
141,David Whitehurst,1977,1983,8-206,GNB,NFL,54,37,504,980,51.43,6205,28,51,5.20,59.2,99,6.33,738,4.56,3.46,114.9,16,20,1
142,Doug Williams,1978,1989,1-17,TOT,NFL,88,81,1240,2507,49.46,16998,100,93,3.71,69.4,84,6.78,734,5.91,5.43,193.2,38,42,1
143,Dave Wilson,1981,1988,1-1,NOR,NFL,53,31,551,1039,53.03,6987,36,55,5.29,63.8,99,6.72,824,5.04,3.87,131.8,12,19,0
144,Marc Wilson,1980,1990,1-15,TOT,NFL,126,60,1085,2081,52.14,14391,86,102,4.90,67.7,210,6.92,1510,5.54,4.37,114.2,32,28,0
145,Wade Wilson,1981,1998,8-210,TOT,NFL,125,69,1391,2428,57.29,17283,99,102,4.20,75.6,217,7.12,1508,6.04,4.98,138.3,36,33,0
146,David Woodley,1980,1985,8-214,TOT,NFL,58,53,687,1300,52.85,8558,48,63,4.85,65.7,84,6.58,631,5.14,4.37,147.6,34,18,1
147,Randy Wright,1984,1988,6-153,GNB,NFL,46,32,602,1119,53.80,7106,31,57,5.09,61.4,85,6.35,603,4.61,3.79,154.5,7,25,0
148,Steve Young*,1985,1999,1-1,TOT,NFL,169,143,2667,4149,64.28,33124,232,107,2.58,96.8,358,7.98,2055,7.94,6.85,196.0,94,49,0
149,Vince Young,2006,2011,1-3,TOT,NFL,60,50,755,1304,57.90,8964,46,51,3.91,74.4,83,6.87,449,5.82,5.15,149.4,31,19,0
150,Jim Zorn,1976,1987,,TOT,NFL,140,106,1669,3149,53.00,21115,111,141,4.48,67.3,213,6.71,1585,5.40,4.58,150.8,44,62,0
